X,Y,Z,MaximumInscribedSphereRadius
21.4097652435,6.55425453186,44.8832511902,2.57347974474
21.4837017059,6.56373119354,44.8165550232,2.5638197368
21.5599250793,6.57188892365,44.75207901,2.55490642249
21.635345459,6.58938550949,44.6885414124,2.54636183796
21.7084407806,6.60629749298,44.6221084595,2.53800604268
21.7731380463,6.63550281525,44.5519218445,2.53168424154
21.8440551758,6.65937948227,44.4854469299,2.52604389638
21.917596817,6.67900371552,44.419883728,2.52040355123
21.9848365784,6.70312309265,44.3503494263,2.51658984902
22.0552406311,6.72190618515,44.2815437317,2.51207677098
22.1254234314,6.7431678772,44.2136421204,2.50766793518
22.1940364838,6.76490592957,44.1440200806,2.5064560966
22.2588500977,6.78110980988,44.069606781,2.5032576237
22.3247966766,6.79899644852,43.9965400696,2.49766770144
22.3910541534,6.81710958481,43.9237480164,2.49209036239
22.4546375275,6.83109331131,43.8477897644,2.48689251843
22.5177402496,6.84379577637,43.7712135315,2.48130904597
22.581653595,6.8543753624,43.6949958801,2.47328200473
22.6486740112,6.86451816559,43.6213951111,2.46184593207
22.7184867859,6.86920261383,43.5498657227,2.44998784057
22.7855491638,6.87367963791,43.4757652283,2.44024188092
22.8519821167,6.88253211975,43.401473999,2.43267740391
22.9197120667,6.88873195648,43.3281707764,2.42519141642
22.9881324768,6.89526319504,43.25548172,2.4186695263
23.057970047,6.89976882935,43.1840438843,2.41150776982
23.127368927,6.90384197235,43.112121582,2.40519795714
23.2019405365,6.91019058228,43.0457763672,2.39687825656
23.2743091583,6.9220032692,42.9776878357,2.39017378501
23.349647522,6.93288230896,42.9128379822,2.3831682332
23.4261322021,6.93909931183,42.848613739,2.37687637966
23.5014533997,6.94636583328,42.7831916809,2.37102946337
23.5790309906,6.95185422897,42.7202415466,2.36541519329
23.6552600861,6.95944595337,42.6558952332,2.36243703191
23.7321796417,6.96891832352,42.5926399231,2.36192364866
23.8092212677,6.97493648529,42.5290870667,2.36115352697
23.8865795135,6.979575634,42.465763092,2.36038340529
23.9653053284,6.98614835739,42.4043960571,2.36106351977
24.0439548492,6.99404907227,42.3430633545,2.36372094353
24.1214771271,6.99877738953,42.280002594,2.36764579529
24.2012882233,6.99880123138,42.2195968628,2.37351356886
24.2815113068,6.99947690964,42.159778595,2.37938134243
24.3608760834,7.00284719467,42.0990371704,2.38511455014
24.4414691925,7.00106906891,42.0396270752,2.39055820375
24.5189056396,7.00862836838,41.9767799377,2.39648429306
24.5972862244,7.02146959305,41.9159622192,2.40080734918
24.6764469147,7.03437995911,41.8560905457,2.40427689696
24.7569484711,7.04688024521,41.7979736328,2.40763131188
24.8384895325,7.06242465973,41.7421684265,2.41161357288
24.9206848145,7.07784080505,41.6872825623,2.41637169959
25.0023002625,7.09066534042,41.6308479309,2.41899113094
25.0832157135,7.10018157959,41.5727767944,2.41850923903
25.1654624939,7.1075925827,41.5162696838,2.41806425541
25.2488384247,7.11750650406,41.4618911743,2.41883857987
25.3304424286,7.12693500519,41.4047927856,2.42026460614
25.4123268127,7.13273620605,41.3475799561,2.42073735076
25.4939632416,7.14112710953,41.2903709412,2.42149482719
25.5745067596,7.14821529388,41.231426239,2.42207208271
25.6556777954,7.15384531021,41.1732254028,2.42330914705
25.7350673676,7.16370344162,41.1131210327,2.42542954504
25.8158893585,7.17796134949,41.0558815002,2.43048401882
25.8951530457,7.19319915771,40.9967842102,2.43558015814
25.9766025543,7.2037062645,40.9397010803,2.44143254156
26.0588302612,7.21192979813,40.8831367493,2.44728492497
26.1375751495,7.22531318665,40.8229179382,2.4533823998
26.2189064026,7.23885345459,40.7662467957,2.45761918355
26.299659729,7.24851512909,40.7079925537,2.46070973694
26.381444931,7.25630712509,40.6509399414,2.4639361537
26.4651126862,7.2661857605,40.5969047546,2.46765208513
26.5494728088,7.27846670151,40.5445137024,2.47317190561
26.6355934143,7.28528785706,40.4940834045,2.47732054282
26.7222518921,7.28776550293,40.4442634583,2.47990737829
26.8087825775,7.28641605377,40.39402771,2.48181618571
26.8938903809,7.28894519806,40.3415184021,2.48318333756
26.9790096283,7.29020690918,40.2889442444,2.48596654703
27.064491272,7.28943729401,40.2368888855,2.4892557206
27.1505966187,7.29364204407,40.1862068176,2.49271052308
